SEPTENI HOLDINGS CO LTD,"7,400","32,956.25","28,487.73","(4,468.52)",JAPAN,Communication Services,Media & Entertainment
MARVELOUS INC,"5,700","81,117.23","28,194.77","(52,922.46)",JAPAN,Communication Services,Media & Entertainment
KLAB INC,"5,600","50,720.23","24,691.03","(26,029.20)",JAPAN,Communication Services,Media & Entertainment
CARTA HOLDINGS INC,"1,700","26,488.97","22,661.66","(3,827.31)",JAPAN,Communication Services,Media & Entertainment
KAMAKURA SHINSHO LTD,"5,000","44,570.90","20,941.44","(23,629.46)",JAPAN,Communication Services,Media & Entertainment
SHOBUNSHA HOLDINGS INC,"7,700","64,875.72","20,914.21","(43,961.51)",JAPAN,Communication Services,Media & Entertainment
ITMEDIA INC,"1,500","25,640.11","17,710.06","(7,930.05)",JAPAN,Communication Services,Media & Entertainment
ZIGEXN CO LTD,"7,500","19,927.37","17,445.07","(2,482.30)",JAPAN,Communication Services,Media & Entertainment
MTI LTD,"4,800","35,768.90","17,347.91","(18,420.99)",JAPAN,Communication Services,Media & Entertainment
IMAGICA GROUP INC,"3,100","19,751.74","17,091.02","(2,660.72)",JAPAN,Communication Services,Media & Entertainment
TOHOKUSHINSHA FILM CORP,"3,500","22,842.43","16,642.74","(6,199.69)",JAPAN,Communication Services,Media & Entertainment
LIFULL CO LTD,"12,400","45,931.99","14,877.63","(31,054.36)",JAPAN,Communication Services,Media & Entertainment
TOKYU RECREATION CO LTD,400,"11,300.44","14,809.91","3,509.47",JAPAN,Communication Services,Media & Entertainment
TOW CO LTD,"5,800","24,153.48","13,277.39","(10,876.09)",JAPAN,Communication Services,Media & Entertainment
UUUM CO LTD,"1,200","24,328.74","11,968.64","(12,360.10)",JAPAN,Communication Services,Media & Entertainment
ORCHESTRA HOLDINGS INC,600,"16,449.82","10,458.21","(5,991.61)",JAPAN,Communication Services,Media & Entertainment
ALPHAPOLIS CO LTD,600,"20,815.45","9,663.24","(11,152.21)",JAPAN,Communication Services,Media & Entertainment
NEXTONE INC,400,"11,820.18","9,569.03","(2,251.15)",JAPAN,Communication Services,Media & Entertainment
I-MOBILE CO LTD,900,"11,200.91","9,486.58","(1,714.33)",JAPAN,Communication Services,Media & Entertainment
ALLIED ARCHITECTS INC,"1,500","14,096.35","8,656.29","(5,440.06)",JAPAN,Communication Services,Media & Entertainment
AERIA INC,"2,800","48,590.27","7,770.05","(40,820.22)",JAPAN,Communication Services,Media & Entertainment
FREAKOUT HOLDINGS INC,600,"11,373.42","7,728.83","(3,644.59)",JAPAN,Communication Services,Media & Entertainment
FAITH INC,"1,700","17,457.88","7,457.95","(9,999.93)",JAPAN,Communication Services,Media & Entertainment
CERES INC/JAPAN,800,"21,914.57","6,824.92","(15,089.65)",JAPAN,Communication Services,Media & Entertainment
BROCCOLI CO LTD,800,"11,334.45","6,789.59","(4,544.86)",JAPAN,Communication Services,Media & Entertainment
LEGS CO LTD,700,"17,494.78","4,704.28","(12,790.50)",JAPAN,Communication Services,Media & Entertainment
FAN COMMUNICATIONS INC,"1,400","8,317.71","3,967.47","(4,350.24)",JAPAN,Communication Services,Media & Entertainment
ITOKURO INC,600,"13,027.24","1,704.76","(11,322.48)",JAPAN,Communication Services,Media & Entertainment
NIPPON TELEGRAPH & TELEPHONE C,"722,747","15,026,843.81","20,726,673.91","5,699,830.10",JAPAN,Communication Services,Telecommunication Services
KDDI CORP,"610,242","15,886,065.04","19,265,598.69","3,379,533.65",JAPAN,Communication Services,Telecommunication Services
SOFTBANK GROUP CORP,"183,372","7,276,517.34","7,066,007.22","(210,510.12)",JAPAN,Communication Services,Telecommunication Services
SOFTBANK CORP,"177,900","2,322,582.68","1,972,738.19","(349,844.49)",JAPAN,Communication Services,Telecommunication Services
INTERNET INITIATIVE JAPAN INC,"9,300","151,014.50","324,820.58","173,806.08",JAPAN,Communication Services,Telecommunication Services
OKINAWA CELLULAR TELEPHONE CO,"2,900","105,802.58","115,483.42","9,680.84",JAPAN,Communication Services,Telecommunication Services
ARTERIA NETWORKS CORP,"8,500","105,793.78","76,456.52","(29,337.26)",JAPAN,Communication Services,Telecommunication Services
JAPAN COMMUNICATIONS INC,"27,500","47,930.96","40,686.76","(7,244.20)",JAPAN,Communication Services,Telecommunication Services
USEN-NEXT HOLDINGS CO LTD,"2,600","54,617.02","37,127.82","(17,489.20)",JAPAN,Communication Services,Telecommunication Services
V-CUBE INC,"3,700","103,753.91","30,966.10","(72,787.81)",JAPAN,Communication Services,Telecommunication Services
VISION INC/TOKYO JAPAN,"3,000","42,188.55","28,508.34","(13,680.21)",JAPAN,Communication Services,Telecommunication Services
IPS INC,"1,300","33,883.31","22,219.28","(11,664.03)",JAPAN,Communication Services,Telecommunication Services
FREEBIT CO LTD,"2,200","18,481.38","13,003.57","(5,477.81)",JAPAN,Communication Services,Telecommunication Services
ASAHI NET INC,"2,200","13,961.95","9,392.37","(4,569.58)",JAPAN,Communication Services,Telecommunication Services
FIBERGATE INC/JAPAN,900,"11,412.62","6,300.10","(5,112.52)",JAPAN,Communication Services,Telecommunication Services
TOYOTA MOTOR CORP,"1,196,510","14,382,219.00","18,495,241.06","4,113,022.06",JAPAN,Consumer Discretionary,Automobiles & Components
HONDA MOTOR CO LTD,"323,608","9,444,504.84","7,843,959.61","(1,600,545.23)",JAPAN,Consumer Discretionary,Automobiles & Components
ISUZU MOTORS LTD,"618,671","6,492,599.89","6,835,413.94","342,814.05",JAPAN,Consumer Discretionary,Automobiles & Components
SUZUKI MOTOR CORP,"162,446","6,879,355.43","5,098,595.83","(1,780,759.60)",JAPAN,Consumer Discretionary,Automobiles & Components
YAMAHA MOTOR CO LTD,"271,332","5,453,937.52","4,965,082.95","(488,854.57)",JAPAN,Consumer Discretionary,Automobiles & Components
SUBARU CORP,"259,182","4,658,450.56","4,600,621.15","(57,829.41)",JAPAN,Consumer Discretionary,Automobiles & Components
AISIN CORP,"135,823","4,681,124.34","4,199,010.67","(482,113.67)",JAPAN,Consumer Discretionary,Automobiles & Components
YOKOHAMA RUBBER CO LTD/THE,"233,999","4,078,674.42","3,164,080.51","(914,593.91)",JAPAN,Consumer Discretionary,Automobiles & Components
MAZDA MOTOR CORP,"298,774","2,577,512.89","2,441,125.73","(136,387.16)",JAPAN,Consumer Discretionary,Automobiles & Components
SUMITOMO ELECTRIC INDUSTRIES L,"218,992","2,860,468.36","2,416,318.91","(444,149.45)",JAPAN,Consumer Discretionary,Automobiles & Components
BRIDGESTONE CORP,"61,742","1,759,442.73","2,249,625.68","490,182.95",JAPAN,Consumer Discretionary,Automobiles & Components
NGK SPARK PLUG CO LTD,"93,200","1,645,231.08","1,689,680.89","44,449.81",JAPAN,Consumer Discretionary,Automobiles & Components
DENSO CORP,"31,060","1,164,211.21","1,647,936.98","483,725.77",JAPAN,Consumer Discretionary,Automobiles & Components
TOKAI RIKA CO LTD,"151,000","2,890,989.85","1,644,989.12","(1,246,000.73)",JAPAN,Consumer Discretionary,Automobiles & Components
NISSAN MOTOR CO LTD,"406,116","2,612,214.36","1,578,966.32","(1,033,248.04)",JAPAN,Consumer Discretionary,Automobiles & Components
NHK SPRING CO LTD,"231,500","1,826,391.43","1,521,692.23","(304,699.20)",JAPAN,Consumer Discretionary,Automobiles & Components
TS TECH CO LTD,"144,100","1,939,906.26","1,492,390.40","(447,515.86)",JAPAN,Consumer Discretionary,Automobiles & Components
NOK CORP,"137,400","1,715,596.40","1,116,555.16","(599,041.24)",JAPAN,Consumer Discretionary,Automobiles & Components
TOYO TIRE CORP,"82,800","1,164,097.77","1,032,447.82","(131,649.95)",JAPAN,Consumer Discretionary,Automobiles & Components
SUMITOMO RUBBER INDUSTRIES LTD,"117,900","1,221,309.90","1,005,823.10","(215,486.80)",JAPAN,Consumer Discretionary,Automobiles & Components
EXEDY CORP,"75,900","1,712,294.94","961,494.97","(750,799.97)",JAPAN,Consumer Discretionary,Automobiles & Components
MITSUBISHI MOTORS CORP,"278,200","832,384.44","939,927.12","107,542.68",JAPAN,Consumer Discretionary,Automobiles & Components
JTEKT CORP,"120,800","1,071,165.92","906,966.97","(164,198.95)",JAPAN,Consumer Discretionary,Automobiles & Components
PRESS KOGYO CO LTD,"261,000","1,098,402.45","766,545.20","(331,857.25)",JAPAN,Consumer Discretionary,Automobiles & Components
TOYODA GOSEI CO LTD,"48,300","929,221.34","761,892.45","(167,328.89)",JAPAN,Consumer Discretionary,Automobiles & Components
FCC CO LTD,"68,500","1,284,574.73","679,680.54","(604,894.19)",JAPAN,Consumer Discretionary,Automobiles & Components
RIKEN CORP,"39,000","993,564.29","671,745.60","(321,818.69)",JAPAN,Consumer Discretionary,Automobiles & Components
STANLEY ELECTRIC CO LTD,"32,800","594,306.71","537,914.68","(56,392.03)",JAPAN,Consumer Discretionary,Automobiles & Components
MUSASHI SEIMITSU INDUSTRY CO L,"46,500","707,798.96","476,106.88","(231,692.08)",JAPAN,Consumer Discretionary,Automobiles & Components
PIOLAX INC,"32,200","468,846.36","474,508.85","5,662.49",JAPAN,Consumer Discretionary,Automobiles & Components
KYB CORP,"20,700","653,732.72","471,579.99","(182,152.73)",JAPAN,Consumer Discretionary,Automobiles & Components
NIFCO INC/JAPAN,"18,500","305,479.10","430,992.60","125,513.50",JAPAN,Consumer Discretionary,Automobiles & Components
TOYOTA BOSHOKU CORP,"28,600","435,669.45","424,194.92","(11,474.53)",JAPAN,Consumer Discretionary,Automobiles & Components
TOPRE CORP,"57,600","892,041.88","421,861.53","(470,180.35)",JAPAN,Consumer Discretionary,Automobiles & Components
KOITO MANUFACTURING CO LTD,"11,216","402,974.68","355,414.82","(47,559.86)",JAPAN,Consumer Discretionary,Automobiles & Components
PACIFIC INDUSTRIAL CO LTD,"44,900","459,029.99","346,693.90","(112,336.09)",JAPAN,Consumer Discretionary,Automobiles & Components
TPR CO LTD,"38,800","834,371.38","343,289.54","(491,081.84)",JAPAN,Consumer Discretionary,Automobiles & Components
NIPPON SEIKI CO LTD,"50,200","741,667.50","318,888.52","(422,778.98)",JAPAN,Consumer Discretionary,Automobiles & Components
G-TEKT CORP,"33,000","420,462.33","309,462.29","(111,000.04)",JAPAN,Consumer Discretionary,Automobiles & Components
EAGLE INDUSTRY CO LTD,"34,900","405,608.41","251,753.70","(153,854.71)",JAPAN,Consumer Discretionary,Automobiles & Components
SHOEI CO LTD,"6,400","103,965.59","250,149.06","146,183.47",JAPAN,Consumer Discretionary,Automobiles & Components
UNIPRES CORP,"36,700","619,183.30","216,382.91","(402,800.39)",JAPAN,Consumer Discretionary,Automobiles & Components
NISSAN SHATAI CO LTD,"49,900","410,056.55","210,832.14","(199,224.41)",JAPAN,Consumer Discretionary,Automobiles & Components
SUMITOMO RIKO CO LTD,"46,100","341,454.76","199,866.77","(141,587.99)",JAPAN,Consumer Discretionary,Automobiles & Components
AISAN INDUSTRY CO LTD,"36,400","293,127.56","191,036.03","(102,091.53)",JAPAN,Consumer Discretionary,Automobiles & Components
NICHIRIN CO LTD,"14,659","243,359.96","165,089.76","(78,270.20)",JAPAN,Consumer Discretionary,Automobiles & Components
FUTABA INDUSTRIAL CO LTD,"56,600","266,374.03","159,982.34","(106,391.69)",JAPAN,Consumer Discretionary,Automobiles & Components
HI-LEX CORP,"18,900","359,368.43","156,787.01","(202,581.42)",JAPAN,Consumer Discretionary,Automobiles & Components
DAIDO METAL CO LTD,"40,300","279,613.05","154,252.70","(125,360.35)",JAPAN,Consumer Discretionary,Automobiles & Components
HONDA MOTOR CO LTD,"6,178","181,871.20","149,198.70","(32,672.50)",JAPAN,Consumer Discretionary,Automobiles & Components
DAIKYONISHIKAWA CORP,"34,100","276,463.95","130,772.52","(145,691.43)",JAPAN,Consumer Discretionary,Automobiles & Components
FUJIKURA COMPOSITES INC,"17,600","96,030.02","117,242.65","21,212.63",JAPAN,Consumer Discretionary,Automobiles & Components
T RAD CO LTD,"5,900","113,637.27","113,739.65",102.38,JAPAN,Consumer Discretionary,Automobiles & Components
SANOH INDUSTRIAL CO LTD,"23,400","140,121.86","112,646.57","(27,475.29)",JAPAN,Consumer Discretionary,Automobiles & Components
YOROZU CORP,"16,900","271,000.48","110,216.03","(160,784.45)",JAPAN,Consumer Discretionary,Automobiles & Components
MITSUBA CORP,"35,200","391,856.71","103,639.90","(288,216.81)",JAPAN,Consumer Discretionary,Automobiles & Components
TAIHO KOGYO CO LTD,"19,100","217,312.78","93,914.84","(123,397.94)",JAPAN,Consumer Discretionary,Automobiles & Components
SOFT99 CORP,"10,800","114,187.67","90,069.55","(24,118.12)",JAPAN,Consumer Discretionary,Automobiles & Components
NIHON TOKUSHU TORYO CO LTD,"11,900","127,882.14","88,206.55","(39,675.59)",JAPAN,Consumer Discretionary,Automobiles & Components
OHASHI TECHNICA INC,"8,700","120,463.80","83,378.60","(37,085.20)",JAPAN,Consumer Discretionary,Automobiles & Components
NISHIKAWA RUBBER CO LTD,"9,300","147,219.95","83,241.69","(63,978.26)",JAPAN,Consumer Discretionary,Automobiles & Components
SUNCALL CORP,"18,400","94,003.46","83,023.81","(10,979.65)",JAPAN,Consumer Discretionary,Automobiles & Components
H-ONE CO LTD,"17,300","137,991.24","75,895.62","(62,095.62)",JAPAN,Consumer Discretionary,Automobiles & Components
NIPPON PISTON RING CO LTD,"8,000","152,378.11","74,844.50","(77,533.61)",JAPAN,Consumer Discretionary,Automobiles & Components
AHRESTY CORP,"24,500","129,896.40","68,709.29","(61,187.11)",JAPAN,Consumer Discretionary,Automobiles & Components
IJTT CO LTD,"17,200","86,353.10","66,341.32","(20,011.78)",JAPAN,Consumer Discretionary,Automobiles & Components
MIKUNI CORP,"23,500","97,503.88","65,212.91","(32,290.97)",JAPAN,Consumer Discretionary,Automobiles & Components
MURAKAMI CORP,"3,700","88,878.71","64,628.47","(24,250.24)",JAPAN,Consumer Discretionary,Automobiles & Components
CHUO SPRING CO LTD,"12,400","88,850.03","63,161.46","(25,688.57)",JAPAN,Consumer Discretionary,Automobiles & Components
SUMINOE TEXTILE CO LTD,"5,000","127,350.60","62,493.10","(64,857.50)",JAPAN,Consumer Discretionary,Automobiles & Components
FUKOKU CO LTD,"8,100","75,933.40","58,191.46","(17,741.94)",JAPAN,Consumer Discretionary,Automobiles & Components
ICHIKOH INDUSTRIES LTD,"22,600","69,115.45","58,057.49","(11,057.96)",JAPAN,Consumer Discretionary,Automobiles & Components
TACHI-S CO LTD,"6,600","95,289.60","53,196.42","(42,093.18)",JAPAN,Consumer Discretionary,Automobiles & Components
F-TECH INC,"13,100","130,177.57","50,913.10","(79,264.47)",JAPAN,Consumer Discretionary,Automobiles & Components
NIHON PLAST CO LTD,"15,000","124,565.46","50,347.79","(74,217.67)",JAPAN,Consumer Discretionary,Automobiles & Components
SNT CORP,"30,200","75,000.97","48,682.78","(26,318.19)",JAPAN,Consumer Discretionary,Automobiles & Components
TBK CO LTD,"19,300","100,453.31","47,733.25","(52,720.06)",JAPAN,Consumer Discretionary,Automobiles & Components
IMASEN ELECTRIC INDUSTRIAL,"10,203","84,868.77","43,934.75","(40,934.02)",JAPAN,Consumer Discretionary,Automobiles & Components
YACHIYO INDUSTRY CO LTD,"8,500","71,087.76","39,792.42","(31,295.34)",JAPAN,Consumer Discretionary,Automobiles & Components
ALPHA CORP,"5,100","85,243.20","37,239.70","(48,003.50)",JAPAN,Consumer Discretionary,Automobiles & Components
ASTI CORP,"2,400","70,520.49","33,759.53","(36,760.96)",JAPAN,Consumer Discretionary,Automobiles & Components
TIGERS POLYMER CORP,"9,700","69,114.08","30,987.45","(38,126.63)",JAPAN,Consumer Discretionary,Automobiles & Components
ASHIMORI INDUSTRY CO LTD,"3,700","49,688.08","28,269.85","(21,418.23)",JAPAN,Consumer Discretionary,Automobiles & Components
FURUKAWA BATTERY CO LTD/THE,"3,000","24,365.66","26,874.24","2,508.58",JAPAN,Consumer Discretionary,Automobiles & Components
AKEBONO BRAKE INDUSTRY CO LTD,"20,600","67,857.71","23,503.00","(44,354.71)",JAPAN,Consumer Discretionary,Automobiles & Components
NITTAN VALVE CO LTD,"7,600","23,932.08","14,880.57","(9,051.51)",JAPAN,Consumer Discretionary,Automobiles & Components
DIAMOND ELECTRIC HOLDINGS CO L,900,"22,875.95","10,692.28","(12,183.67)",JAPAN,Consumer Discretionary,Automobiles & Components
KASAI KOGYO CO LTD,"4,500","40,943.32","8,744.62","(32,198.70)",JAPAN,Consumer Discretionary,Automobiles & Components
YUTAKA GIKEN CO LTD,600,"13,118.80","8,148.39","(4,970.41)",JAPAN,Consumer Discretionary,Automobiles & Components
YASUNAGA CORP,"1,400","25,129.96","7,409.37","(17,720.59)",JAPAN,Consumer Discretionary,Automobiles & Components
SANDEN HOLDINGS CORP,"3,700","10,524.87","7,135.55","(3,389.32)",JAPAN,Consumer Discretionary,Automobiles & Components
TOKYO RADIATOR MANUFACTURING C,700,"5,103.03","3,426.45","(1,676.58)",JAPAN,Consumer Discretionary,Automobiles & Components
SONY GROUP CORP,"237,461","12,031,079.12","19,392,954.02","7,361,874.90",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SHIMANO INC,"38,009","7,197,331.76","6,412,471.18","(784,860.58)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
BANDAI NAMCO HOLDINGS INC,"72,425","4,983,562.59","5,106,614.17","123,051.58",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
ASICS CORP,"249,500","5,321,743.27","4,504,975.85","(816,767.42)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
YAMAHA CORP,"103,121","4,364,004.12","4,250,690.77","(113,313.35)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
PANASONIC CORP,"402,166","4,203,922.80","3,245,924.07","(957,998.73)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SEKISUI HOUSE LTD,"107,476","1,839,429.19","1,880,068.54","40,639.35",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
HASEKO CORP,"138,900","1,424,912.97","1,624,615.20","199,702.23",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SUMITOMO FORESTRY CO LTD,"77,000","932,620.20","1,089,919.39","157,299.19",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
NIKON CORP,"90,734","917,225.72","1,047,894.04","130,668.32",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SEKISUI CHEMICAL CO LTD,"45,255","437,803.27","618,589.91","180,786.64",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SEIKO HOLDINGS CORP,"26,000","503,508.55","554,620.73","51,112.18",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
MIZUNO CORP,"30,400","713,470.42","523,840.85","(189,629.57)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
RINNAI CORP,"7,600","538,522.30","521,938.82","(16,583.48)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SEGA SAMMY HOLDINGS INC,"26,800","345,177.48","429,652.20","84,474.72",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
GUNZE LTD,"15,700","485,760.73","425,276.95","(60,483.78)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
CASIO COMPUTER CO LTD,"44,501","627,884.18","412,401.15","(215,483.03)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
JAPAN WOOL TEXTILE CO LTD/THE,"52,900","415,225.67","383,544.96","(31,680.71)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SANKYO CO LTD,"12,600","331,552.25","380,722.09","49,169.84",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
IIDA GROUP HOLDINGS CO LTD,"23,600","416,838.03","362,889.84","(53,948.19)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
TOMY CO LTD,"34,200","278,862.86","343,120.24","64,257.38",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
FUJITSU GENERAL LTD,"15,300","185,556.83","302,835.38","117,278.55",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
OPEN HOUSE CO LTD,"6,300","182,270.19","250,414.04","68,143.85",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
KURABO INDUSTRIES LTD,"17,300","291,990.00","247,297.49","(44,692.51)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
JVCKENWOOD CORP,"179,500","433,754.09","233,863.31","(199,890.78)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
WACOAL HOLDINGS CORP,"12,300","304,644.03","194,112.84","(110,531.19)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
GOLDWIN INC,"3,200","64,788.05","179,485.48","114,697.43",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SEIREN CO LTD,"11,800","100,068.42","175,364.91","75,296.49",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
PRESSANCE CORP,"14,900","190,646.63","165,610.39","(25,036.24)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SHARP CORP/JAPAN,"21,115","333,882.33","163,038.79","(170,843.54)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
FJ NEXT HOLDINGS CO LTD,"20,100","165,007.03","158,308.48","(6,698.55)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
HOOSIERS HOLDINGS,"26,600","112,289.54","157,029.18","44,739.64",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SNOW PEAK INC,"7,400","118,957.01","147,831.14","28,874.13",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SANGETSU CORP,"12,600","165,806.10","144,498.17","(21,307.93)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SEGA SAMMY HOLDINGS INC,"8,400","151,555.21","134,667.11","(16,888.10)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
FUJI CORP LTD,"26,500","169,305.96","127,764.89","(41,541.07)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
NAGAWA CO LTD,"2,000","130,693.63","118,803.13","(11,890.50)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
TSI HOLDINGS CO LTD,"46,200","155,777.69","118,003.75","(37,773.94)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
RHYTHM CO LTD,"9,600","130,221.52","115,252.29","(14,969.23)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
TOA CORP/HYOGO,"20,100","170,408.78","111,407.75","(59,001.03)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
TOKEN CORP,"1,920","81,728.09","108,963.23","27,235.14",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
YONEX CO LTD,"12,600","96,474.37","106,008.61","9,534.24",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
MORITO CO LTD,"18,500","144,419.15","104,173.57","(40,245.58)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
LOOK HOLDINGS INC,"8,300","78,235.69","102,516.66","24,280.97",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
CLEANUP CORP,"24,200","175,456.34","102,069.11","(73,387.23)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
TAMRON CO LTD,"5,500","108,001.01","101,777.63","(6,223.38)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
UNITIKA LTD,"59,500","183,225.05","101,608.34","(81,616.71)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
ROLAND CORP,"3,100","153,811.06","92,072.43","(61,738.63)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
ESLEAD CORP,"7,000","86,475.23","85,789.99",(685.24),JAPAN,Consumer Discretionary,Consumer Durables & Apparel
TAMA HOME CO LTD,"4,700","47,991.44","84,759.48","36,768.04",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
TACHIKAWA CORP,"10,900","102,213.64","83,843.07","(18,370.57)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
JANOME CORP,"15,900","119,155.38","83,798.17","(35,357.21)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
UNIVERSAL ENTERTAINMENT CORP,"7,700","153,235.01","82,466.60","(70,768.41)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SANKYO SEIKO CO LTD,"16,900","73,159.19","78,992.31","5,833.12",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
GLOBERIDE INC,"4,900","67,364.23","76,752.42","9,388.19",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
KI-STAR REAL ESTATE CO LTD,"2,200","114,547.69","76,110.56","(38,437.13)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
DAIKOKU DENKI CO LTD,"8,100","110,092.47","73,752.89","(36,339.58)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
CORONA CORP,"12,000","119,077.98","72,430.17","(46,647.81)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SHIKIBO LTD,"10,600","107,609.09","69,909.83","(37,699.26)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
NIHON HOUSE HOLDINGS CO LTD,"23,800","89,598.08","69,198.78","(20,399.30)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
CHOFU SEISAKUSHO CO LTD,"5,200","122,846.46","67,480.77","(55,365.69)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
DESCENTE LTD,"2,900","17,971.33","67,027.34","49,056.01",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
HAGIHARA INDUSTRIES INC,"8,300","93,571.56","66,287.59","(27,283.97)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
AVANTIA CO LTD,"10,700","101,838.29","65,607.45","(36,230.84)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
FOSTER ELECTRIC CO LTD,"11,800","207,283.79","63,405.84","(143,877.95)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
MEIWA ESTATE CO LTD,"12,100","70,269.06","56,734.76","(13,534.30)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
LEC INC,"11,300","56,113.73","53,233.22","(2,880.51)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
SANEI ARCHITECTURE PLANNING CO,"4,200","46,372.46","50,793.86","4,421.40",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
DAINICHI CO LTD,"10,400","74,975.41","49,299.62","(25,675.79)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
FUJIBO HOLDINGS INC,"2,000","59,242.71","47,845.13","(11,397.58)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
ONWARD HOLDINGS CO LTD,"25,400","131,523.16","47,488.87","(84,034.29)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
KAWAI MUSICAL INSTRUMENTS MANU,"2,400","46,559.80","45,878.33",(681.47),JAPAN,Consumer Discretionary,Consumer Durables & Apparel
FIRST JUKEN CO LTD,"5,600","73,222.94","45,053.91","(28,169.03)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
ES-CON JAPAN LTD,"7,200","48,773.97","40,543.22","(8,230.75)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
ZOJIRUSHI CORP,"3,900","61,066.79","39,644.47","(21,422.32)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
OPEN HOUSE GROUP CO LTD,900,"48,731.88","35,773.43","(12,958.45)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
YONDOSHI HOLDINGS INC,"2,600","64,924.05","34,697.29","(30,226.76)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
MARS GROUP HOLDINGS CORP,"2,700","48,882.92","32,871.81","(16,011.11)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
FUJISHOJI CO LTD,"4,800","43,308.23","30,138.02","(13,170.21)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
MATSUOKA CORP,"4,300","59,889.94","29,815.61","(30,074.33)",JAPAN,Consumer Discretionary,Consumer Durables & Apparel
